link,title,date,subhead,alert_text,scraped_at,category,on_or_off_campus
https://alert.umd.edu/alerts/umd-alert-test-18,UMD Alert Test,"July 03, 2024","First Wednesday of each month at 11:55 a.m., the campus tests the UMD Alert Emergency Notification System, Alertus System and Early Warning Sirens.  These are only tests.
 
In the event of an emergency, you will receive text and email notifications with information regarding the nature of the emergency and necessary protective actions.
 
UMD affiliates may edit their mobile device settings at alert.umd.edu.
 
Contact Information:
 
University of Maryland…","First Wednesday of each month at 11:55 a.m., the campus tests the UMD Alert Emergency Notification System, Alertus System and Early Warning Sirens. These are only tests.

In the event of an emergency, you will receive text and email notifications with information regarding the nature of the emergency and necessary protective actions.

UMD affiliates may edit their mobile device settings at alert.umd.edu.

Contact Information:

University of Maryland Police

Emergency Number 301-405-3333/ 911

Prince George's County Police

911 from mobile phone / 301-352-1200 (non-emergency) / 911",2024-07-13T21:30:03.693038+00:00,test,info not available
https://alert.umd.edu/alerts/umd-alert-update-attempted-carjacking-weapon,UMD ALERT:  UPDATE Attempted Carjacking with a Weapon,"June 27, 2024","A man with a screwdriver was tapering with the ignition of a motorcycle. The owner of the vehicle approached the suspect and was able to take the screwdriver away from the suspect. The suspect left the scene, heading towards University Boulevard. More information to follow when available.","A man with a screwdriver was tapering with the ignition of a motorcycle. The owner of the vehicle approached the suspect and was able to take the screwdriver away from the suspect. The suspect left the scene, heading towards University Boulevard. More information to follow when available.







Safety Resources:



University of Maryland Police

Emergency Number - 301-405-3333 / #3333 from a mobile phone (AT&T and Verizon Wireless) / 911

Non-Emergency Number - 301-405-3555

UMD Guardian (Mobile Campus Safety App)

https://umpdnews.umd.edu/download-umd-guardian-app-today



Prince George's County Police

911 from mobile phone

Non-Emergency Number - 301-352-1200



Office of Emergency Management and Business Continuity

https://prepare.umd.edu/ for quick access to phone numbers and emergency guide



UMD Police Walking Escort/Non-Emergency:

301-405-3555



NITE Ride

301-314-6483

http://www.transportation.umd.edu/niteride.html



Help Center (Peer Counseling & Crisis Intervention)

301-314-4357

http://helpcenterumd.org



Counseling Center

301-314-7651

http://counseling.umd.edu/



CARE (Confidential Services for Sexual Assault/Harassment/Rape)

301-741-3442

http://www.health.umd.edu/care



Health Center

301-314-8180

http://www.health.umd.edu/

Office of Civil Rights & Sexual Misconduct (Title IX)

301-405-1142

TitleIXcoordinator@umd.edu

ocrsm.umd.edu



UMD Alerts https://alert.umd.edu

----------------------------------------------------------

Sent by email and SMS (text) via UMD Alerts to UMD Students/Faculty/Staff



",2024-07-13T21:30:03.693038+00:00,other,info not available
https://alert.umd.edu/alerts/umd-alert-last-update-5,UMD ALERT: Last Update,"June 27, 2024","This is the last update for the attempted carjacking with a weapon in parking lot 11. The victim described the suspect as a skinny man, with long hair, wearing a black face mask, white tank top and dark color pants. UMPD's Criminal Investigations Unit is investigating this incident.","This is the last update for the attempted carjacking with a weapon in parking lot 11. The victim described the suspect as a skinny man, with long hair, wearing a black face mask, white tank top and dark color pants. UMPD's Criminal Investigations Unit is investigating this incident.





Safety Resources:



University of Maryland Police

Emergency Number - 301-405-3333 / #3333 from a mobile phone (AT&T and Verizon Wireless) / 911

Non-Emergency Number - 301-405-3555

UMD Guardian (Mobile Campus Safety App)

https://umpdnews.umd.edu/download-umd-guardian-app-today



Prince George's County Police

911 from mobile phone

Non-Emergency Number - 301-352-1200



Office of Emergency Management and Business Continuity

https://prepare.umd.edu/ for quick access to phone numbers and emergency guide



UMD Police Walking Escort/Non-Emergency:

301-405-3555



NITE Ride

301-314-6483

http://www.transportation.umd.edu/niteride.html



Help Center (Peer Counseling & Crisis Intervention)

301-314-4357

http://helpcenterumd.org



Counseling Center

301-314-7651

http://counseling.umd.edu/



CARE (Confidential Services for Sexual Assault/Harassment/Rape)

301-741-3442

http://www.health.umd.edu/care



Health Center

301-314-8180

http://www.health.umd.edu/

Office of Civil Rights & Sexual Misconduct

301-405-1142

TitleIXcoordinator@umd.edu

ocrsm.umd.edu



UMD Alerts https://alert.umd.edu

----------------------------------------------------------

Sent by email and SMS (text) via UMD Alerts to UMD Students/Faculty/Staff",2024-07-13T21:30:03.693038+00:00,other,on_campus
https://alert.umd.edu/alerts/umd-alert-attempted-carjacking-weapon,UMD ALERT:  Attempted Carjacking with a Weapon,"June 27, 2024",An attempted carjacking with a weapon reported in parking lot 11. Be alert. Stay away. More information to follow when available.,"An attempted carjacking with a weapon reported in parking lot 11. Be alert. Stay away. More information to follow when available.







Safety Resources:



University of Maryland Police

Emergency Number - 301-405-3333 / #3333 from a mobile phone (AT&T and Verizon Wireless) / 911

Non-Emergency Number - 301-405-3555

UMD Guardian (Mobile Campus Safety App)

https://umpdnews.umd.edu/download-umd-guardian-app-today



Prince George's County Police

911 from mobile phone

Non-Emergency Number - 301-352-1200



Office of Emergency Management and Business Continuity

https://prepare.umd.edu/ for quick access to phone numbers and emergency guide



UMD Police Walking Escort/Non-Emergency:

301-405-3555



NITE Ride

301-314-6483

http://www.transportation.umd.edu/niteride.html



Help Center (Peer Counseling & Crisis Intervention)

301-314-4357

http://helpcenterumd.org



Counseling Center

301-314-7651

http://counseling.umd.edu/



CARE (Confidential Services for Sexual Assault/Harassment/Rape)

301-741-3442

http://www.health.umd.edu/care



Health Center

301-314-8180

http://www.health.umd.edu/

Office of Civil Rights & Sexual Misconduct (Title IX)

301-405-1142

TitleIXcoordinator@umd.edu

ocrsm.umd.edu



UMD Alerts https://alert.umd.edu

----------------------------------------------------------

Sent by email and SMS (text) via UMD Alerts to UMD Students/Faculty/Staff



",2024-07-13T21:30:03.693038+00:00,other,on_campus
https://alert.umd.edu/alerts/umd-community-notice-campus-robbery-weapon-3,UMD Community Notice: Off-Campus Robbery with a Weapon,"June 17, 2024","**Community Notice**
The purpose of this e-mail is to make you aware of an incident that occurred off-campus near the University of Maryland, College Park campus. The following is a synopsis of an incident reported to the Prince George's County Police Department.

INCIDENT:                Off-Campus Robbery with a Weapon 
OCCURRED:             June 17, 2024 (Monday)/ Approximately 1:20 a.m.
LOCATION:              9000 block of Baltimore Avenue, College Park,…","**Community Notice**

The purpose of this e-mail is to make you aware of an incident that occurred off-campus near the University of Maryland, College Park campus. The following is a synopsis of an incident reported to the Prince George's County Police Department.

INCIDENT: Off-Campus Robbery with a Weapon

OCCURRED: June 17, 2024 (Monday)/ Approximately 1:20 a.m.

LOCATION: 9000 block of Baltimore Avenue, College Park, Maryland

PGPD CASE #: 24-0035078

BRIEF DETAILS:

On June 17, 2024, at approximately 8:01 a.m., the University of Maryland Police Department was notified by the Prince George’s County Police Department of an off-campus robbery with a weapon. The incident occurred in the 9000 block of Baltimore Avenue, College Park, Maryland.

Two men reported to police that at approximately 1:20 a.m., earlier today, they were standing in a parking lot outside of hotel. A dark color SUV pulled into the lot and three men exited the SUV. Two of the men displayed handguns and demanded property from the victims. The victims complied with the suspects demands and the three suspects entered the SUV. The suspects were last seen traveling south on Baltimore Avenue.

The Prince George’s County Police Department is investigating this incident as it occurred off-campus.

Anyone with information related to this incident and/or the possible identity of the suspect(s) are encouraged to contact the Prince George’s County Police Department (911 or 301-352-1200).

When available for release, additional information, including updated description of suspect(s) may be obtained by accessing the ""UMD Safety Notice"" portion of our web site: https://www.umpd.umd.edu/stats/safety_notices.cfm and https://umpdnews.umd.edu/

Safety Tips:

The University of Maryland Police Department provides a walking escort service for anyone who feels unsafe when walking on or near campus. If you would like a walking escort, please call to request one at 301-405-3555. You may also use a blue light emergency phone to call for an escort.

Stay alert and attuned to people and circumstances around you.

Trust your instincts. They are a natural gift that tells you when something is wrong.



If you observe suspicious activity or behavior, contact the police immediately by calling 911 or 301-405-3333.



See Something, Say Something!



Be Smart, Be Safe!

Safety Resources:



University of Maryland Police Department

Emergency Number - 301-405-3333 / #3333 from a mobile phone (AT&T and Verizon Wireless) / 911

Non-Emergency Number - 301-405-3555



Prince George's County Police Department

Emergency Number - 911

Non-Emergency Number - 301-352-1200



Office of Emergency Management and Business Continuity

https://prepare.umd.edu/ for quick access to phone numbers and emergency guide

UMD Guardian (Mobile Campus Safety App)

https://umpdnews.umd.edu/download-umd-guardian-app-today



UMD Police Walking Escort

301-405-3555



NITE Ride

301-314-3687

https://transportation.umd.edu/shuttle-um/nite-ride

ADA/504 Coordinator

301-405-2841

https://accessibility.umd.edu/

Bias Incident Support Services

301-405-0980

https://biassupport.umd.edu/",2024-07-13T21:30:03.693038+00:00,robbery,on_campus
https://alert.umd.edu/alerts/umd-alert-last-update-4,UMD ALERT: Last Update,"June 10, 2024",This is the last update for the gas line struck in front of the Health Center. Repairs have been completed.,"This is the last update for the gas line struck in front of the Health Center. Repairs have been completed.





Safety Resources:



University of Maryland Police

Emergency Number - 301-405-3333 / #3333 from a mobile phone (AT&T and Verizon Wireless) / 911

Non-Emergency Number - 301-405-3555

UMD Guardian (Mobile Campus Safety App)

https://umpdnews.umd.edu/download-umd-guardian-app-today



Prince George's County Police

911 from mobile phone

Non-Emergency Number - 301-352-1200



Office of Emergency Management and Business Continuity

https://prepare.umd.edu/ for quick access to phone numbers and emergency guide



UMD Police Walking Escort/Non-Emergency:

301-405-3555



NITE Ride

301-314-6483

http://www.transportation.umd.edu/niteride.html



Help Center (Peer Counseling & Crisis Intervention)

301-314-4357

http://helpcenterumd.org



Counseling Center

301-314-7651

http://counseling.umd.edu/



CARE (Confidential Services for Sexual Assault/Harassment/Rape)

301-741-3442

http://www.health.umd.edu/care



Health Center

301-314-8180

http://www.health.umd.edu/

Office of Civil Rights & Sexual Misconduct

301-405-1142

TitleIXcoordinator@umd.edu

ocrsm.umd.edu



UMD Alerts https://alert.umd.edu

----------------------------------------------------------

Sent by email and SMS (text) via UMD Alerts to UMD Students/Faculty/Staff",2024-07-13T21:30:03.693038+00:00,gas_line,info not available
https://alert.umd.edu/alerts/umd-alert-test-18,UMD Alert Test,"July 03, 2024","First Wednesday of each month at 11:55 a.m., the campus tests the UMD Alert Emergency Notification System, Alertus System and Early Warning Sirens.  These are only tests.
 
In the event of an emergency, you will receive text and email notifications with information regarding the nature of the emergency and necessary protective actions.
 
UMD affiliates may edit their mobile device settings at alert.umd.edu.
 
Contact Information:
 
University of Maryland…","First Wednesday of each month at 11:55 a.m., the campus tests the UMD Alert Emergency Notification System, Alertus System and Early Warning Sirens. These are only tests.

In the event of an emergency, you will receive text and email notifications with information regarding the nature of the emergency and necessary protective actions.

UMD affiliates may edit their mobile device settings at alert.umd.edu.

Contact Information:

University of Maryland Police

Emergency Number 301-405-3333/ 911

Prince George's County Police

911 from mobile phone / 301-352-1200 (non-emergency) / 911",2024-07-13T21:30:03.693038+00:00,test,info not available
https://alert.umd.edu/alerts/umd-alert-update-attempted-carjacking-weapon,UMD ALERT:  UPDATE Attempted Carjacking with a Weapon,"June 27, 2024","A man with a screwdriver was tapering with the ignition of a motorcycle. The owner of the vehicle approached the suspect and was able to take the screwdriver away from the suspect. The suspect left the scene, heading towards University Boulevard. More information to follow when available.","A man with a screwdriver was tapering with the ignition of a motorcycle. The owner of the vehicle approached the suspect and was able to take the screwdriver away from the suspect. The suspect left the scene, heading towards University Boulevard. More information to follow when available.







Safety Resources:



University of Maryland Police

Emergency Number - 301-405-3333 / #3333 from a mobile phone (AT&T and Verizon Wireless) / 911

Non-Emergency Number - 301-405-3555

UMD Guardian (Mobile Campus Safety App)

https://umpdnews.umd.edu/download-umd-guardian-app-today



Prince George's County Police

911 from mobile phone

Non-Emergency Number - 301-352-1200



Office of Emergency Management and Business Continuity

https://prepare.umd.edu/ for quick access to phone numbers and emergency guide



UMD Police Walking Escort/Non-Emergency:

301-405-3555



NITE Ride

301-314-6483

http://www.transportation.umd.edu/niteride.html



Help Center (Peer Counseling & Crisis Intervention)

301-314-4357

http://helpcenterumd.org



Counseling Center

301-314-7651

http://counseling.umd.edu/



CARE (Confidential Services for Sexual Assault/Harassment/Rape)

301-741-3442

http://www.health.umd.edu/care



Health Center

301-314-8180

http://www.health.umd.edu/

Office of Civil Rights & Sexual Misconduct (Title IX)

301-405-1142

TitleIXcoordinator@umd.edu

ocrsm.umd.edu



UMD Alerts https://alert.umd.edu

----------------------------------------------------------

Sent by email and SMS (text) via UMD Alerts to UMD Students/Faculty/Staff



",2024-07-13T21:30:03.693038+00:00,other,info not available
https://alert.umd.edu/alerts/umd-alert-last-update-5,UMD ALERT: Last Update,"June 27, 2024","This is the last update for the attempted carjacking with a weapon in parking lot 11. The victim described the suspect as a skinny man, with long hair, wearing a black face mask, white tank top and dark color pants. UMPD's Criminal Investigations Unit is investigating this incident.","This is the last update for the attempted carjacking with a weapon in parking lot 11. The victim described the suspect as a skinny man, with long hair, wearing a black face mask, white tank top and dark color pants. UMPD's Criminal Investigations Unit is investigating this incident.





Safety Resources:



University of Maryland Police

Emergency Number - 301-405-3333 / #3333 from a mobile phone (AT&T and Verizon Wireless) / 911

Non-Emergency Number - 301-405-3555

UMD Guardian (Mobile Campus Safety App)

https://umpdnews.umd.edu/download-umd-guardian-app-today



Prince George's County Police

911 from mobile phone

Non-Emergency Number - 301-352-1200



Office of Emergency Management and Business Continuity

https://prepare.umd.edu/ for quick access to phone numbers and emergency guide



UMD Police Walking Escort/Non-Emergency:

301-405-3555



NITE Ride

301-314-6483

http://www.transportation.umd.edu/niteride.html



Help Center (Peer Counseling & Crisis Intervention)

301-314-4357

http://helpcenterumd.org



Counseling Center

301-314-7651

http://counseling.umd.edu/



CARE (Confidential Services for Sexual Assault/Harassment/Rape)

301-741-3442

http://www.health.umd.edu/care



Health Center

301-314-8180

http://www.health.umd.edu/

Office of Civil Rights & Sexual Misconduct

301-405-1142

TitleIXcoordinator@umd.edu

ocrsm.umd.edu



UMD Alerts https://alert.umd.edu

----------------------------------------------------------

Sent by email and SMS (text) via UMD Alerts to UMD Students/Faculty/Staff",2024-07-13T21:30:03.693038+00:00,other,on_campus
https://alert.umd.edu/alerts/umd-alert-attempted-carjacking-weapon,UMD ALERT:  Attempted Carjacking with a Weapon,"June 27, 2024",An attempted carjacking with a weapon reported in parking lot 11. Be alert. Stay away. More information to follow when available.,"An attempted carjacking with a weapon reported in parking lot 11. Be alert. Stay away. More information to follow when available.







Safety Resources:



University of Maryland Police

Emergency Number - 301-405-3333 / #3333 from a mobile phone (AT&T and Verizon Wireless) / 911

Non-Emergency Number - 301-405-3555

UMD Guardian (Mobile Campus Safety App)

https://umpdnews.umd.edu/download-umd-guardian-app-today



Prince George's County Police

911 from mobile phone

Non-Emergency Number - 301-352-1200



Office of Emergency Management and Business Continuity

https://prepare.umd.edu/ for quick access to phone numbers and emergency guide



UMD Police Walking Escort/Non-Emergency:

301-405-3555



NITE Ride

301-314-6483

http://www.transportation.umd.edu/niteride.html



Help Center (Peer Counseling & Crisis Intervention)

301-314-4357

http://helpcenterumd.org



Counseling Center

301-314-7651

http://counseling.umd.edu/



CARE (Confidential Services for Sexual Assault/Harassment/Rape)

301-741-3442

http://www.health.umd.edu/care



Health Center

301-314-8180

http://www.health.umd.edu/

Office of Civil Rights & Sexual Misconduct (Title IX)

301-405-1142

TitleIXcoordinator@umd.edu

ocrsm.umd.edu



UMD Alerts https://alert.umd.edu

----------------------------------------------------------

Sent by email and SMS (text) via UMD Alerts to UMD Students/Faculty/Staff



",2024-07-13T21:30:03.693038+00:00,other,on_campus
